station,line,product,direction,planned_when,actual_when,delay_seconds
alexanderplatz,S9,suburban,Flughafen BER,2026-08-03T22:22:00+02:00,2026-08-03T22:22:00+02:00,0.0
alexanderplatz,200,bus,S+U Zoologischer Garten via Potsdamer Platz,2026-08-03T22:22:00+02:00,2026-08-03T22:22:00+02:00,0.0
alexanderplatz,M2,tram,Am Steinberg,2026-08-03T22:22:00+02:00,2026-08-03T22:22:00+02:00,0.0
alexanderplatz,200,bus,"Prenzlauer Berg, Michelangelostr.",2026-08-03T22:23:00+02:00,2026-08-03T22:22:00+02:00,-60.0
alexanderplatz,S9,suburban,S Spandau Bhf (Berlin),2026-08-03T22:23:00+02:00,2026-08-03T22:23:00+02:00,0.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-03T22:21:00+02:00,2026-08-03T22:25:00+02:00,240.0
alexanderplatz,S7,suburban,S Ahrensfelde Bhf (Berlin),2026-08-03T22:25:00+02:00,2026-08-03T22:25:00+02:00,0.0
alexanderplatz,U2,subway,Ruhleben,2026-08-03T22:25:00+02:00,2026-08-03T22:25:00+02:00,0.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung U Ruhleben,2026-08-03T22:26:00+02:00,2026-08-03T22:26:00+02:00,0.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-03T22:28:00+02:00,2026-08-03T22:26:00+02:00,-120.0
alexanderplatz,S5,suburban,S Strausberg Bhf,2026-08-03T22:27:00+02:00,2026-08-03T22:27:00+02:00,0.0
alexanderplatz,M6,tram,"Hellersdorf, Riesaer Str.",2026-08-03T22:27:00+02:00,2026-08-03T22:27:00+02:00,0.0
alexanderplatz,U5,subway,Biesdorf-Süd,2026-08-03T22:27:00+02:00,2026-08-03T22:27:00+02:00,0.0
alexanderplatz,U8,subway,Wittenau,2026-08-03T22:28:00+02:00,2026-08-03T22:28:00+02:00,0.0
alexanderplatz,248,bus,S Südkreuz,2026-08-03T22:16:00+02:00,2026-08-03T22:29:00+02:00,780.0
alexanderplatz,S5,suburban,S Westkreuz (Berlin),2026-08-03T22:28:00+02:00,2026-08-03T22:29:00+02:00,60.0
alexanderplatz,100,bus,"Mitte, Memhardstr.",2026-08-03T22:28:00+02:00,2026-08-03T22:29:00+02:00,60.0
alexanderplatz,M5,tram,S+U Hauptbahnhof,2026-08-03T22:30:00+02:00,2026-08-03T22:29:00+02:00,-60.0
alexanderplatz,S7,suburban,S Wannsee Bhf (Berlin),2026-08-03T22:30:00+02:00,2026-08-03T22:30:00+02:00,0.0
alexanderplatz,U5,subway,Hauptbahnhof,2026-08-03T22:30:00+02:00,2026-08-03T22:31:00+02:00,60.0
alexanderplatz,U8,subway,Hermannstraße,2026-08-03T22:30:00+02:00,2026-08-03T22:31:00+02:00,60.0
alexanderplatz,S3,suburban,S Erkner Bhf,2026-08-03T22:32:00+02:00,2026-08-03T22:32:00+02:00,0.0
alexanderplatz,M2,tram,Heinersdorf,2026-08-03T22:32:00+02:00,2026-08-03T22:32:00+02:00,0.0
alexanderplatz,M4,tram,"Hohenschönhausen, Zingster Str.",2026-08-03T22:32:00+02:00,2026-08-03T22:32:00+02:00,0.0
alexanderplatz,200,bus,S+U Zoologischer Garten via Potsdamer Platz,2026-08-03T22:34:00+02:00,2026-08-03T22:34:00+02:00,0.0
alexanderplatz,S3,suburban,S Spandau Bhf (Berlin),2026-08-03T22:35:00+02:00,2026-08-03T22:35:00+02:00,0.0
alexanderplatz,300,bus,"Tiergarten, Philharmonie",2026-08-03T22:35:00+02:00,2026-08-03T22:35:00+02:00,0.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-03T22:35:00+02:00,2026-08-03T22:35:00+02:00,0.0
alexanderplatz,S7,suburban,S Ahrensfelde Bhf (Berlin),2026-08-03T22:35:00+02:00,2026-08-03T22:36:00+02:00,60.0
alexanderplatz,200,bus,"Prenzlauer Berg, Michelangelostr.",2026-08-03T22:35:00+02:00,2026-08-03T22:36:00+02:00,60.0
alexanderplatz,248,bus,S Südkreuz,2026-08-03T22:36:00+02:00,2026-08-03T22:36:00+02:00,0.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung U Ruhleben,2026-08-03T22:36:00+02:00,2026-08-03T22:36:00+02:00,0.0
alexanderplatz,M5,tram,"Hohenschönhausen, Zingster Str.",2026-08-03T22:37:00+02:00,2026-08-03T22:37:00+02:00,0.0
alexanderplatz,U5,subway,Biesdorf-Süd,2026-08-03T22:37:00+02:00,2026-08-03T22:37:00+02:00,0.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung U Ruhleben,2026-08-03T22:37:00+02:00,2026-08-03T22:37:00+02:00,0.0
alexanderplatz,U8,subway,Wittenau,2026-08-03T22:38:00+02:00,2026-08-03T22:38:00+02:00,0.0
alexanderplatz,M4,tram,"Hohenschönhausen, Zingster Str.",2026-08-03T22:39:00+02:00,2026-08-03T22:39:00+02:00,0.0
alexanderplatz,M6,tram,"Mitte, Am Kupfergraben",2026-08-03T22:40:00+02:00,2026-08-03T22:39:00+02:00,-60.0
alexanderplatz,S7,suburban,S Potsdam Hauptbahnhof,2026-08-03T22:40:00+02:00,2026-08-03T22:40:00+02:00,0.0
alexanderplatz,U5,subway,Hauptbahnhof,2026-08-03T22:40:00+02:00,2026-08-03T22:40:00+02:00,0.0
alexanderplatz,U8,subway,Hermannstraße,2026-08-03T22:40:00+02:00,2026-08-03T22:40:00+02:00,0.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-03T22:41:00+02:00,2026-08-03T22:42:00+02:00,60.0
